taxID,ncbi_species,RefSeq_assembly,GCF_id,Assembly_name,Organism_name,Infraspecific_name,BioSample,BioProject,Sex,Submitter,Date,Synonyms,Assembly_type,Assembly_level,Genome_coverage,Assembly_method,Expected_final_version,Genome_representation,Sequencing_technology,RefSeq_category,scaffold_N50,contig_N50,total_gap_len,Organism_common_name,Organism_species_name,taxon_superkindom,taxon_kindom,taxon_phylum,taxon_class,taxon_superorder,taxon_order,taxon_family,taxon_genus,taxon_species,synonyms_phy_name,specimen_origin,sample_size,longevity,Ori_Longevity_data,mass,Ori_mass_data,birth_mass,Ori_Birthmass_data,maturity,Ori_FemaleMaturity_data,gestation,Ori_Ges_data,GT,PNGR,tRNA_CPN,busco,genomic_len,A_perc,C_perc,G_perc,T_perc,N_perc,O_perc,gene_num,CDs_len,MLres,GTres,relative_ML,PopulationDensity_n.km2,GR_Area_km2,Estimated_population_size,mammalia_class,TAAI_proteome,p_proteome,TAAI_HEP,p_HEP
9925,Capra hircus (goat),ARS1,GCF_001704415.1,ARS1,Capra hircus (goat),breed=San Clemente,SAMN03863711,PRJNA290100,male,USDA ARS,2016/8/24,,haploid,Chromosome,50.0x,Celera Assembler v. 8.2; BioNano Genomics Irys v. APRIL-2015; Lachesis Hi-C v. JUNE-2015,yes,full,PacBio,,87277232,26244591,38187,goat,Capra hircus,Eukaryota,Metazoa,Chordata,Mammalia,Laurasiatheria,Artiodactyla,Bovidae,Capra,Capra hircus,,captivity,large,20.8,AnAge,61000,AnAge,2250,AnAge,406,AnAge,155,AnAge,561,144.7044335,655,99.6,2922813246,28.39989309,21.58237071,21.58083394,28.43555838,0.001343876,0,20160,34307419,0.765640053,0.531332318,1.227094076,7.58,NA,NA,terrestrial,0.665412543,0.001365326,0.748965476,0.00014479
41426,Phacochoerus africanus (Common warthog),ROS_Pafr_v1,GCF_016906955.1,ROS_Pafr_v1,Phacochoerus africanus (Common warthog),,SAMN15809474,PRJNA656957,female,The Roslin Institute,2021/2/19,,haploid,Chromosome,56.0x,FALCON-Unzip v. 1.2.4,yes,full,PacBio Sequel,Representative Genome,141887063,10602503,9510001,Common warthog,Phacochoerus africanus,Eukaryota,Metazoa,Chordata,Mammalia,Laurasiatheria,Artiodactyla,Suidae,Phacochoerus,Phacochoerus africanus,,captivity,large,30,AnAge,1.00E+05,AnAge,660,AnAge,578,AnAge,164,AnAge,742,171.8685121,458,99.3,2435083091,28.88384645,20.88396933,20.89942712,28.94221596,0.390541129,0,20017,34613092,1.020317506,0.632532044,1.474053806,NA,11093470.88,NA,terrestrial,0.71057629,0.000446088,0.776816453,5.62E-05
9731,Globicephala melas (long-finned pilot whale),ASM654740v1,GCF_006547405.1,ASM654740v1,Globicephala melas (long-finned pilot whale),,SAMN11083132,PRJNA525909,male,Canada's Genomic Enterprise,2019/7/1,,haploid,Scaffold,36.0x,Supernova v. 2.1.1,yes,full,Illumina HiSeq,Representative Genome,18102937,332801,9904897,long-finned pilot whale,Globicephala melas,Eukaryota,Metazoa,Chordata,Mammalia,Laurasiatheria,Artiodactyla,Delphinidae,Globicephala,Globicephala melas,,captivity,tiny,60,AnAge,1060000,AnAge,109667,AnAge,2470,AnAge,450,AnAge,2920,384.7502024,375,98.2,2333870982,29.24877426,20.56211233,20.55174398,29.21295917,0.424397796,1.25E-05,18104,32425074,1.398673657,1.505467306,1.203447368,NA,NA,NA,aquatic,0.814345421,1.24E-05,0.889062934,1.61E-07
9823,Sus scrofa (pig),Sscrofa11.1,GCF_000003025.6,Sscrofa11.1,Sus scrofa (pig),breed=Duroc,SAMN02953785,PRJNA13421,female,The Swine Genome Sequencing Consortium (SGSC),2017/2/7,susScr11,haploid,Chromosome,65.0x,Falcon v. OCT-2015,yes,full,PacBio,Representative Genome,88231837,48231277,29864641,pig,Sus scrofa,Eukaryota,Metazoa,Chordata,Mammalia,Laurasiatheria,Artiodactyla,Suidae,Sus,Sus scrofa,,captivity,large,27,AnAge,130000,AnAge,960,AnAge,334,AnAge,115,AnAge,449,386.3473054,471,98.7,2501912388,28.69369981,20.68026317,20.69241783,28.73994495,1.193674253,0,20442,35110975,0.880535584,0.361955377,1.842599262,3.54,25951693.02,91868993.29,terrestrial,0.778615341,5.26E-05,0.823796115,8.05E-06
9749,Delphinapterus leucas (beluga whale),ASM228892v3,GCF_002288925.2,ASM228892v3,Delphinapterus leucas (beluga whale),,SAMN06216270,PRJNA360851,female,BC Cancer Agency,2019/8/29,,haploid,Scaffold,117.0x,re-scaffolding v. Mar-2019,yes,full,Illumina HiSeqX,Representative Genome,31183418,196689,35864186,beluga whale,Delphinapterus leucas,Eukaryota,Metazoa,Chordata,Mammalia,Laurasiatheria,Artiodactyla,Monodontidae,Delphinapterus,Delphinapterus leucas,,captivity,medium,40,AnAge,1430000,AnAge,66000,AnAge,1644,AnAge,416,AnAge,2060,829.6836983,384,98.5,2362774659,28.97066986,20.31190169,20.30127262,28.89822956,1.517884317,4.19E-05,18135,32547580,0.888833283,0.996458625,1.007922326,NA,NA,NA,aquatic,0.788228766,3.66E-05,0.851649472,1.90E-06
9913,Bos taurus (cattle),ARS-UCD1.2,GCF_002263795.1,ARS-UCD1.2,Bos taurus (cattle),breed=Hereford,SAMN03145444,PRJNA391427,female,USDA ARS,2018/4/11,bosTau9,haploid,Chromosome,80.0x,Falcon v. FEB-2016,yes,full,PacBio; Illumina NextSeq 500; Illumina HiSeq; Illumina GAII,,103308737,25896116,28162,cattle,Bos taurus,Eukaryota,Metazoa,Chordata,Mammalia,Laurasiatheria,Artiodactyla,Bovidae,Bos,Bos taurus,,captivity,large,20,AnAge,750000,AnAge,10433,WorldSpecies,548,AnAge,277,AnAge,825,1349.574818,619,99.1,2715853792,29.00058278,20.9623484,20.97160811,29.06442377,0.001036948,0,20805,35186202,0.492758673,0.457872463,0.916864904,NA,44447.62,NA,terrestrial,0.728859448,0.000267097,0.797513498,2.54E-05
40151,Monodon monoceros (narwhal),NGI_Narwhal_1,GCF_005190385.1,NGI_Narwhal_1,Monodon monoceros (narwhal),ecotype=Baffin Bay Population,SAMN10872456,PRJNA520934,male,The Narwhal Genome Initiative,2019/5/6,,haploid,Scaffold,42.0x,SuperNova v. 2.0.0; HiRise v. 2.1.6; PBSuite v. 15.8.25,no,full,10X Genomics; Dovetail Chicago; Dovetail Hi-C; PacBio,Representative Genome,107566389,255327,11468950,narwhal,Monodon monoceros,Eukaryota,Metazoa,Chordata,Mammalia,Laurasiatheria,Artiodactyla,Monodontidae,Monodon,Monodon monoceros,,wild,medium,50,AnAge,1250000,AnAge,80000,AnAge,2191,AnAge,450,AnAge,2641,534.0027385,377,98.5,2355574979,29.24184087,20.50710151,20.51319034,29.25098191,0.486885372,0,17986,32363885,1.135215953,1.314635013,1.070951259,NA,NA,NA,aquatic,0.745855581,0.000159748,0.831828822,5.45E-06
9739,Tursiops truncatus (common bottlenose dolphin),mTurTru1.mat.Y,GCF_011762595.1,mTurTru1.mat.Y,Tursiops truncatus (common bottlenose dolphin),,SAMN12326775,PRJNA608726,male,Vertebrate Genomes Project,2020/3/27,,haploid,Chromosome,63.7x,TrioCanu v. 1.8; purge_dups v. 1.0.0; Scaff 10x v. 4.1.0; Bionano solve v. 3.2.1_04122018; Salsa2 HiC v. 2.2; Arrow polishing and gap filling v. smrtlink_6.0.0.47841; Freebayes v. 1.3.1; gEVAL manual curation v. 2020-01-15; VGP trio assembly pipeline v. 1.6,no,full,PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,Representative Genome,108430135,9729386,6222516,common bottlenose dolphin,Tursiops truncatus,Eukaryota,Metazoa,Chordata,Mammalia,Laurasiatheria,Artiodactyla,Delphinidae,Tursiops,Tursiops truncatus,,captivity,medium,51.6,AnAge,2.00E+05,AnAge,19350,AnAge,2831,AnAge,365,AnAge,3196,63.81137407,428,98.4,2378522213,29.1833481,20.67538795,20.6551247,29.22452657,0.261612692,0,18902,33422083,1.570720767,2.350531133,0.97560296,0.2,NA,NA,aquatic,0.80948887,1.54E-05,0.808735857,1.59E-05
419612,Camelus ferus (Wild Bactrian camel),BCGSAC_Cfer_1.0,GCF_009834535.1,BCGSAC_Cfer_1.0,Camelus ferus (Wild Bactrian camel),,SAMN12102236,PRJNA550024,male,The Bactrian Camels Genome Sequencing and Analysis Consortium,2020/1/8,,haploid,Chromosome,50.0x,FALCON v. FEB-2018; LACHESIS v. MAR-2018,yes,full,PacBio Sequel; Hi-C,Representative Genome,76025729,5365398,234500,Wild Bactrian camel,Camelus ferus,Eukaryota,Metazoa,Chordata,Mammalia,Laurasiatheria,Artiodactyla,Camelidae,Camelus,Camelus ferus,,captivity,medium,28.4,AnAge,434000,AnAge,37000,AnAge,1095,AnAge,405,AnAge,1500,362.5570776,1435,99,2087093976,29.17024197,20.82939202,20.8217295,29.1674008,0.011235718,0,19996,34753007,0.763719829,0.935372447,0.880624761,NA,NA,NA,terrestrial,0.565939653,0.009294011,0.620430804,0.003515117
9860,Cervus elaphus (red deer),mCerEla1.1,GCF_910594005.1,mCerEla1.1,Cervus elaphus (red deer),,SAMEA7523520,PRJEB45838,,WELLCOME SANGER INSTITUTE,2021/7/7,,haploid (principal pseudohaplotype of diploid),Chromosome,30x,,,full,,Representative Genome,83473711,68741660,10400,red deer,Cervus elaphus,Eukaryota,Metazoa,Chordata,Mammalia,Laurasiatheria,Artiodactyla,Cervidae,Cervus,Cervus elaphus,,captivity,large,31.5,AnAge,2.00E+05,AnAge,10100,AnAge,852,AnAge,245,AnAge,1097,222.8873239,502,99.8,2886603524,28.39732607,21.46840295,21.51107105,28.62283965,0.000360285,0,22800,37529919,0.958870235,0.806799954,1.198537578,2.9,14167735.33,41086432.46,terrestrial,0.528615057,0.016565212,0.594880193,0.00566287
59534,Oryx dammah (scimitar-horned oryx),SCBI_Odam_1.1,GCF_014754425.2,SCBI_Odam_1.1,Oryx dammah (scimitar-horned oryx),,SAMN14518290,PRJNA622505,male,Smithsonian Conservation Biology Institute,2020/9/25,,haploid,Scaffold,120.0x,Supernova v. 2.0.1; 3D de novo assembly (3D-DNA) pipeline v. 180419,no,full,Illumina NovaSeq; Illumina HiSeq; Hi-C; 10X Genomics,Representative Genome,100398400,374342,18916020,scimitar-horned oryx,Oryx dammah,Eukaryota,Metazoa,Chordata,Mammalia,Laurasiatheria,Artiodactyla,Bovidae,Oryx,Oryx dammah,,captivity,large,27.5,AnAge,177500,AnAge,10317,AnAge,639,AnAge,247,AnAge,886,261.6322379,525,99.2,2707182720,28.93031358,20.72673868,20.72265595,28.92155728,0.698734513,0,20570,34898368,0.85324753,0.668394855,1.203226188,NA,214297.23,NA,terrestrial,0.568634865,0.008891345,0.642346792,0.002258428
37181,Budorcas taxicolor (takin),Takin1.1,GCF_023091745.1,Takin1.1,Budorcas taxicolor (takin),,SAMN22814979,PRJNA776710,male,Northwest A&F University,2022/4/22,,haploid,Chromosome,24.0x,hifiasm v. 0.13,yes,full,PacBio Sequel; Illumina NovaSeq,Representative Genome,109747698,68053581,75583,takin,Budorcas taxicolor,Eukaryota,Metazoa,Chordata,Mammalia,Laurasiatheria,Artiodactyla,Bovidae,Budorcas,Budorcas taxicolor,,captivity,medium,21.9,AnAge,180000,AnAge,6000,AnAge,730,AnAge,210,AnAge,940,238.3561644,650,99.5,2851654952,28.29550375,21.63226447,21.69124128,28.37834,0.002650496,0,20389,34946703,0.677976432,0.707022828,0.921838271,NA,402044.43,NA,terrestrial,0.769116241,7.39E-05,0.821847032,8.82E-06
42100,Phocoena sinus (vaquita),mPhoSin1.pri,GCF_008692025.1,mPhoSin1.pri,Phocoena sinus (vaquita),,SAMN12325353,PRJNA557831,female,Vertebrate Genomes Project,2019/9/26,,haploid (principal pseudohaplotype of diploid),Chromosome,67.26x,FALCON v. 5.1.1; FALCON-Unzip v. 1.0.2; Arrow smrtanalysis Pacbio polishing v. 6.0.0.47841; purge_haplotigs v. 1.0.4; scaff10X v. 4.1; Bionano solve DLS v. 3.3_10252018; Salsa HiC v. 2.2; Arrow smrtanalysis Pacbio polishing & gap filling v. 6.0.0.47841; longranger align v. 2.2.2; freebayes Illumina polishing v. 1.2.0; gEVAL manual curation v. 2019-07-23; VGP assembly pipeline individual v. 1.5,no,full,PacBio Sequel I; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLE-1,Representative Genome,115469292,20218762,8045644,vaquita,Phocoena sinus,Eukaryota,Metazoa,Chordata,Mammalia,Laurasiatheria,Artiodactyla,Phocoenidae,Phocoena,Phocoena sinus,,,,21,10.1111/j.1469-7998.1996.tb05450.x,42500,ADW;WorldSpecies,NA,,1620,ADW,323,WorldSpecies,1943,NA,382,98.6,2371524154,29.21422899,20.61286406,20.61044675,29.22319943,0.339260766,0,18775,33273533,0.819013668,1.987488318,0.549786813,NA,NA,NA,aquatic,0.750753863,0.000136744,0.813253934,1.30E-05
9662,Meles meles (Eurasian badger),mMelMel3.1 paternal haplotype,GCF_922984935.1,mMelMel3.1 paternal haplotype,Meles meles (Eurasian badger),,SAMEA7524400,PRJEB49353,,WELLCOME SANGER INSTITUTE,2021/12/19,,haploid,Chromosome,85x,,,full,,Representative Genome,132955750,75210923,23800,Eurasian badger,Meles meles,Eukaryota,Metazoa,Chordata,Mammalia,Laurasiatheria,Carnivora,Mustelidae,Meles,Meles meles,,captivity,medium,18.6,AnAge,13000,AnAge,80,AnAge,365,AnAge,49,AnAge,414,35.39726027,513,99.8,2738694446,28.78087784,21.24545372,21.23597186,28.73682755,0.000869027,0,20807,35749779,0.876791016,0.545015726,1.338538777,2.52,NA,NA,terrestrial,0.732405435,0.000240685,0.830260221,5.89E-06
1608482,Puma yagouaroundi (jaguarundi),PumYag,GCF_014898765.1,PumYag,Puma yagouaroundi (jaguarundi),ecotype=Mexico,SAMN14930875,PRJNA633021,male,Felidae consortium,2020/10/20,,haploid,Scaffold,37.0x,Supernova v. 2.1.1,yes,full,Illumina NovaSeq,Representative Genome,49273425,100211,53379134,jaguarundi,Puma yagouaroundi,Eukaryota,Metazoa,Chordata,Mammalia,Laurasiatheria,Carnivora,Felidae,Puma,Herpailurus yagouaroundi,Puma yagouaroundi,captivity,small,18.6,AnAge,7000,AnAge,188,Hand-raising Jaguarundis (Puma yagouaroundi),803,AnAge,73,AnAge,876,8.483188045,411,98.6,2473139798,28.50253652,20.42385543,20.422922,28.49233115,2.158354899,0,19148,33301615,0.968080208,1.315760516,0.81988227,0.58,15093388.56,8754165.365,terrestrial,0.566265702,0.009244524,0.630271799,0.002893495
9720,Phoca vitulina (harbor seal),GSC_HSeal_1.0,GCF_004348235.1,GSC_HSeal_1.0,Phoca vitulina (harbor seal),,SAMN10150265,PRJNA494181,female,Canada's Genome Enterprise (CGEN),2019/2/11,,haploid,Scaffold,45.0x,Supernova v. 2.1.1,yes,full,Illumina HiSeq,Representative Genome,41024070,283887,21443940,harbor seal,Phoca vitulina,Eukaryota,Metazoa,Chordata,Mammalia,Laurasiatheria,Carnivora,Phocidae,Phoca,Phoca vitulina,,captivity,medium,47.6,AnAge,115000,AnAge,11000,AnAge,1095,AnAge,253,AnAge,1348,94.97716895,396,99.3,2363596144,29.0645247,20.49955642,20.50161396,29.02702197,0.907259053,2.39E-05,19381,33459156,1.583103764,1.115423727,1.582799845,5.68,NA,NA,aquatic,0.566265702,0.009244524,0.638554941,0.002443881
494514,Vulpes lagopus (Arctic fox),ASM1834538v1,GCF_018345385.1,ASM1834538v1,Vulpes lagopus (Arctic fox),strain=Blue_001,SAMN16815335,PRJNA678849,female,Hebei Normal University of Science and Technology,2021/5/12,,haploid,Chromosome,121.0x,WTDBG2 v. 2.5,yes,full,PacBio Sequel; Illumina NovaSeq,Representative Genome,131537142,33460300,52700,Arctic fox,Vulpes lagopus,Eukaryota,Metazoa,Chordata,Mammalia,Laurasiatheria,Carnivora,Canidae,Vulpes,Vulpes lagopus,,captivity,medium,16.3,AnAge,5200,AnAge,70,AnAge,304,AnAge,52,AnAge,356,16.875,369,99.1,2345550353,29.36782087,20.62822878,20.64567074,29.35603272,0.002246893,0,20352,34846541,0.889695006,0.569665491,1.29471906,0.1,16988732.37,1698873.237,terrestrial,0.64883361,0.001968436,0.713641613,0.000410429
391180,Enhydra lutris kenyoni (sea otter),ASM228890v2,GCF_002288905.1,ASM228890v2,Enhydra lutris kenyoni (sea otter),,SAMN07211055,PRJNA388419,male,BC Cancer Agency,2017/9/11,,haploid,Scaffold,110.0x,ABySS - Supernova hybrid v. 2.0.1 - 1.1.5,yes,full,Illumina HiSeqX,Representative Genome,38751465,244529,29682377,sea otter,Enhydra lutris kenyoni,Eukaryota,Metazoa,Chordata,Mammalia,Laurasiatheria,Carnivora,Mustelidae,Enhydra,Enhydra lutris,,captivity,medium,27,AnAge,25850,AnAge,1868,AnAge,974,AnAge,140,AnAge,1114,24.62217659,396,99.7,2455276666,28.86901728,20.52984916,20.52782104,28.86437275,1.208921887,1.79E-05,19058,33426350,1.1402082,1.266804859,1.017037778,NA,NA,NA,aquatic,0.560664583,0.010125071,0.63828347,0.002457631
